video_id,title,channel_name,tanggal,author,komentar,label,komentar_clean,predicted_label
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.740.032.539.097.650,dewabethumps,"Jepe lagi hari ini, wede gampang banget",1,"jepe , wede gampang banget",1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.319.289.500,dendiramadan2070,"Nah bener, buat keuangan timnas juga ini",0,"bener , keuangan timnas",0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.740.029.119.296.110,julianputra7714,Sek mas susu anak luweh penting timbang jersey ori,0,sek mas susu anak luweh timbang jersey ori,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.740.032.539.522.220,dewabethumping,"Jepe terus tiap maen, nggak prnh gagal",1,"jepe maen , nggak prnh gagal",1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.320.096.630,masrafid7942,"18:26 ohhh jadi jersey kipernya warna ijoo wkwk, oke siip",0,"18:26 ohhh jersey kipernya warna ijoo wkwk , oke siip",0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.320.099.280,pitypuddle802,kelaaazzz bgt karbida FC 🔥,0,kelaaazzz bgt karbida fc,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.320.103.230,TulaySedat,"tengkiu bosku sudah kasi teman2 setongkrongan traktiran makan minum enak, semoga makin jaya mandalika77",1,"tengkiu bosku kasi teman2 setongkrongan traktiran makan minum enak , semoga jaya mandalika77",1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,173.994.632.010.455,HakanOvgu,gokilll mantul kali  mandalika77  makasih info gacirny kakak,1,gokilll mantul kali mandalika77 makasih info gacirny kakak,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.320.107.060,FirmanMovic,"gokil lu bg, sumpah kreen,",0,"gokil lu bg , sumpah kreen ,",0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.964.320.109.670,ODELLCampbell-k1q,Mulai langkah baru di 2:34 M𝗮𝘯𝐝𝗮𝑙𝗶𝒌𝐚𝟟𝟳,1,langkah 2:34 m𝗮𝘯𝐝𝗮𝑙𝗶𝒌𝐚𝟟𝟳,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.320.116.210,KenanOmer-y1q,paten lah mandalika77 makasihhh,1,paten mandalika77 makasihhh,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.320.118.850,CaglaCagdas-fj2eg,Semoga selalu diberi kemudahan main di mandalika77,1,semoga kemudahan main mandalika77,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.320.313.380,nuriii-if,kespill sendiri,0,kespill,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.971.520.317.400,adityadava813,"Jersey kiper warnanya kuning, udh bnyak kesebar jg kyknya",0,"jersey kiper warnanya kuning , udh bnyak kesebar jg kyknya",0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.740.007.520.520.230,KingGorgon,Apasih.. org bahas Jersey timnas malah judi.. gak menghormati.,0,apasih .. org bahas jersey timnas judi .. gak menghormati .,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.978.720.855.950,MuneverTayyar,"gw main di mandalika77 sampe bikin 3 akun kirain bakal rungkad salah satu, eh wd mulu wkkwkwk",1,"gw main mandalika77 sampe bikin 3 akun kirain rungkad salah , eh wd mulu wkkwkwk",1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.960.720.857.300,KancutBadak-h4v,10:12 masa ngga tau ─═𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵 ═─ si ? tempatnya para pemenang,1,10:12 ngga tau ─═𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵 ═─ si ? tempatnya pemenang,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.320.858.780,MargaritaOneil,Rezeki gue makin lancar sejak kenal sama 𝙋𝙐𝙇𝘼𝙐777,1,rezeki gue lancar kenal 𝙋𝙐𝙇𝘼𝙐777,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.320.860.090,Ducemirfan,bang sattt lah-Ga ru da-Ho ki Gacoor bgt jadi candu gua😤,1,bang sattt lah-ga ru da-ho ki gacoor bgt candu gua,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.320.862.730,HuriyeMuzaffer,Jadilah 1:16 bagian dari keceriaan ＭΛＮDALIKΛ𝟟𝟟,1,1:16 keceriaan ｍλｎdalikλ𝟟𝟟,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.320.864.040,TifanyEdmondson,makasih betul admin sahabat sahabat saya udah membujuk pula buat bermain di mandalika77 gacir akut,1,makasih admin sahabat sahabat udah membujuk bermain mandalika77 gacir akut,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.964.320.865.350,CansuGulsah,Terinspirasi setiap hari di M𝗮𝘯𝐝𝗮𝑙𝗶𝒌𝐚𝟟𝟳,1,terinspirasi m𝗮𝘯𝐝𝗮𝑙𝗶𝒌𝐚𝟟𝟳,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.320.866.680,AslihanIsik-z4h,Raih kebahagiaan sejati di M𝗮𝘯𝐝𝗮𝑙𝗶𝒌𝐚𝟟𝟳,1,raih kebahagiaan sejati m𝗮𝘯𝐝𝗮𝑙𝗶𝒌𝐚𝟟𝟳,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.320.868.000,ahmadzabidi9626,Keren bngettttt,0,keren bngettttt,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.320.869.320,Petrovickelly-y9h,"Keren banget bang 😂 , Salam JePE 𝐏𝐑𝐎𝐁𝐄𝐓𝟖𝟓𝟓",1,"keren banget bang , salam jepe 𝐏𝐑𝐎𝐁𝐄𝐓𝟖𝟓𝟓",1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.320.870.650,varunmishra1994,"Kemenangan 𝘐𝙎𝐎𝘛𝑂𝘛𝙊pasti dibayar lunas, gak pake drama!",1,"kemenangan 𝘐𝙎𝐎𝘛𝑂𝘛𝙊pasti dibayar lunas , gak pake drama !",1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.953.520.871.940,Yusufiklil-s4l,"Deg-degan banget nunggu JP di MANDALIKA-77-, akhirnya pecah juga!",1,"deg-degan banget nunggu jp mandalika-77- , pecah !",1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.320.874.580,AdieSuryaman,Keren jersey nya siap buat koleksi😮,0,keren jersey nya koleksi,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.320.875.880,PaulettaBocanegra,komunitas nang mandalika77 iki sangat apik silih bawa amat sangat,1,komunitas nang mandalika77 iki apik silih bawa,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.320.877.190,dhinaevalina902,"Belum beli aja, uda seneng banget..
Gimana klo uda munyain..",0,"beli aja , uda seneng banget .. gimana klo uda munyain ..",0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.953.520.878.630,OsmanZerin,"ＭΛＮDALIKΛ𝟟𝟟 gua bru nyoba, lgnsung hoki deh",1,"ｍλｎdalikλ𝟟𝟟 gua bru nyoba , lgnsung hoki deh",1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.320.879.950,adammaulana821,gagah bgt lo bang pake lengan pendek juga 🔥,0,gagah bgt lo bang pake lengan pendek,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.320.881.330,giejoe,"Jersey timnas terbaru gokil banget, semoga bisa kebeli",0,"jersey timnas terbaru gokil banget , semoga kebeli",0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.953.521.683.950,ModestaBlackman,MANDALIKA-77- menawarkan 2:44 pengalaman daring yang berbeda.,1,mandalika-77- menawarkan 2:44 pengalaman daring berbeda .,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.321.686.990,doddopantara2751,WAJIB BELI SIIII ORIGINAL 🔥🔥,0,wajib beli siiii original,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.321.688.330,izzetNizamettin,makasih  mandalika77  udah ngebuat kemenangan jadi perihal yang lazim untuk gue,1,makasih mandalika77 udah ngebuat kemenangan perihal lazim gue,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.953.521.691.080,dede.dy18,respect bang sadad sama erspo🎉🎉👍,0,respect bang sadad erspo,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.321.692.440,jockolelo343,Replikanya aja keren ya bang apa lagi yang original nya ya bang😂😂😂,0,replikanya aja keren ya bang original nya ya bang,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.975.121.695.050,NevrozAhmet,di kasih uang jg sama mandalika77 lumayan buat nongki sambil ngopi with teman teman besok wkwkw,1,kasih uang jg mandalika77 lumayan nongki ngopi with teman teman besok wkwkw,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.321.697.690,Pgomezeltoukhy-v9i,"gacir banget, main di 𝐏𝐑𝐎𝐁𝐄𝐓𝟖𝟓𝟓",1,"gacir banget , main 𝐏𝐑𝐎𝐁𝐄𝐓𝟖𝟓𝟓",1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,173.994.632.169.901,sandiwenaz8313,Meded pisan bro mantaaaaaapppp 🤟🤟🤟🤟,0,meded pisan bro mantaaaaaapppp,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.321.700.320,petrakovRdz-t7z4m,Sukaaa bangettt sama 𝐏𝐑𝐎𝐁𝐄𝐓𝟖𝟓𝟓,1,sukaaa bangettt 𝐏𝐑𝐎𝐁𝐄𝐓𝟖𝟓𝟓,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.321.701.650,GeneClemens-k2s,"Habis kesamber petirnya kakek main di  mandalika77  , scatternya gilagilaan..putarannya bagus terus, mantap kali main disini bang.",1,"habis kesamber petirnya kakek main mandalika77 , scatternya gilagilaan .. putarannya bagus , mantap kali main bang .",1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.321.702.970,bhaktiharibowo8695,MAJU TERUS ERSPRO.....MENYALA..,0,maju erspro ..... menyala ..,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.321.704.300,philipspsrska-s8b,0:02 Wah keren probet855 terbaik menang mudah,1,0:02 keren probet855 terbaik menang mudah,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.964.321.705.600,EnverElif,Mari rayakan momen unik di M𝗮𝘯𝐝𝗮𝑙𝗶𝒌𝐚𝟟𝟳,1,mari rayakan momen unik m𝗮𝘯𝐝𝗮𝑙𝗶𝒌𝐚𝟟𝟳,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.321.706.910,WarnoKautsar,Salut sama erspro Jersey kali ini bener2 kelas  bngt mewah,0,salut erspro jersey kali bener2 kelas bngt mewah,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,173.998.232.170.822,anakkariango1608,02:08 emil audero calon pemain yg di naturalisasi 😊,0,02:08 emil audero calon pemain yg naturalisasi,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.978.721.709.570,ChristianShearer-c7i,setelah sedemikian itu lama nyari2 link mantul kali ni gw setuju mandalika77 gacir,1,nyari2 link mantul kali ni gw setuju mandalika77 gacir,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.975.122.447.680,TawanaRudy,suka banget main di s1tus mandalika77 ini.. enggak usah di jelaskan lagi dengan kata kata lah pokoknya paling the best lah emg,1,suka banget main s1tus mandalika77 .. pokoknya the best emg,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.975.122.449.070,daniramadhan8449,cuma disini yg bikin nonton betah sampek akhir wkwkkw,0,yg bikin nonton betah sampek wkwkkw,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.960.722.450.380,KancutBadak-h4v,10:12 ─═𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵 ═─ ngga ada lawan emang,1,10:12 ─═𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵 ═─ ngga lawan emang,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.322.453.400,roman5949,"Gokil ,keren cok🙌🙌",0,"gokil , keren cok",0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.985.922.454.720,WaseemsWay,Let's gooooo ❤🔥,0,let 's gooooo,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.949.922.457.360,RafliRiansyah-ow3qe,"gokil banget, gua suka bgt sama video video di channel lu bang",0,"gokil banget , gua suka bgt video video channel lu bang",0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.322.458.660,raihandwiprasetyo4461,"buat vlog bang, pas nanti lawan Bahrain di GBK kayanya asikk tuh",0,"vlog bang , pas lawan bahrain gbk kayanya asikk tuh",0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.322.459.990,muhammadsopian5611,edan...lah poko na mah 😂😂.. sunda pisan mang bimo,0,edan ... poko na mah .. sunda pisan mang bimo,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.322.461.300,krasnayaarmiya3455,Enggak sabar liat maestro Tahir pake Jersey ini 🥳,0,sabar liat maestro tahir pake jersey,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.322.463.900,mukhlissulung,7:40 gua kira personil VOB😂😂,0,7:40 gua personil vob,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.322.465.210,TanjungUrip,Mantap jersey boss q ❤🎉,0,mantap jersey boss q,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.322.467.870,ryanpermana9637,Goxxsss akhirnya tayang juga 🔥🔥🔥🔥,0,goxxsss tayang,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.322.470.500,HumeyraSerhat,keren banget mandalika77 hampir tidak ada kerungkatan bro rasio kemenangannya tinggi banget gokil,1,keren banget mandalika77 kerungkatan bro rasio kemenangannya banget gokil,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.322.471.830,PetersKapur-h5z,Akhirnya yg di tunggu2😁 𝐏𝐑𝐎𝐁𝐄𝐓𝟖𝟓𝟓,1,yg tunggu2 𝐏𝐑𝐎𝐁𝐄𝐓𝟖𝟓𝟓,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.964.322.791.870,NevaGriego,"Bersama M𝗮𝘯𝐝𝗮𝑙𝗶𝒌𝐚𝟟𝟳, 5:41 hari-hari lebih bermakna",1,"m𝗮𝘯𝐝𝗮𝑙𝗶𝒌𝐚𝟟𝟳 , 5:41 hari-hari bermakna",1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.322.793.670,baitkematian13,keren kieuu mang Bimooo!,0,keren kieuu mang bimooo !,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.740.007.522.796.220,Daneeskuyyy,Gila bro emang keren ni jersey,0,gila bro emang keren ni jersey,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,173.994.632.279.753,ranitasugiyanto5846,Klo lolos piala Dunia laris manis nie jersey,0,klo lolos piala dunia laris manis nie jersey,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.322.798.820,ihsanEsen-r5e,Baru kali ini maxwin 5 kali berturut turut di-Ga ru da Ho ki🥳,1,kali maxwin 5 kali di-ga ru da ho ki,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.322.801.420,novasetiawan6558,Otw pildun nihhh❤❤,0,otw pildun nihhh,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.953.522.802.700,AubreyHair-t2l,"Rezeki hari ini datang terus dari ＭΛＮDALIKΛ𝟟𝟟,senang banget rasanya!",1,"rezeki ｍλｎdalikλ𝟟𝟟 , senang banget !",1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.322.805.290,kenzoirawan,Ngeri bang GK bisa lepas😂😂,0,ngeri bang gk lepas,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.322.806.580,BariFincher,Modal berapapun di mandalika77 pasti dikasih pecahan. Gak nyesel deh main di sini. Mantap,1,modal mandalika77 dikasih pecahan . gak nyesel deh main . mantap,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.953.522.807.860,LACYBrower,Pertimbangkan untuk menjelajahi ＭΛＮDALIKΛ𝟟𝟟-jika Anda menghargai inovasi dan kreativitas.,1,pertimbangkan menjelajahi ｍλｎdalikλ𝟟𝟟-jika menghargai inovasi kreativitas .,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.953.522.809.140,JEFFEREYBerry,"M𝗮𝘯𝐝𝗮𝑙𝗶𝒌𝐚𝟟𝟳 tiap hari hoki terus, gue sampe bingung",1,"m𝗮𝘯𝐝𝗮𝑙𝗶𝒌𝐚𝟟𝟳 hoki , gue sampe bingung",1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.322.810.450,KeciaBattles,"Sungguh tak ku sangka, sungguh tak ku duga, new member auto cuan main di  mandalika77  , scatternya gampang kali keluarnya. Pola acak gass keun !!",1,"sungguh ku sangka , sungguh ku duga , new member auto cuan main mandalika77 , scatternya gampang kali keluarnya . pola acak gass keun ! !",1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.322.811.740,MuhlisMehmet,Sambut hari dengan antusias di ＭΛＮDALIKΛ𝟟𝟟,1,sambut antusias ｍλｎdalikλ𝟟𝟟,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.322.813.030,UmutSemine,Gua bukan sales tapi emg gokil siGa ru da Ho ki-gacorr der🔥🤣,1,gua sales emg gokil siga ru da ho ki-gacorr der,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.964.322.815.790,Huseyinilker-w6n,"Bersama M𝗮𝘯𝐝𝗮𝑙𝗶𝒌𝐚𝟟𝟳, ciptakan 3:17 keajaiban",1,"m𝗮𝘯𝐝𝗮𝑙𝗶𝒌𝐚𝟟𝟳 , ciptakan 3:17 keajaiban",1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.323.120.310,saefulinsan8103,Lu bisa nabung bro minimal buat beli suporter version.,0,lu nabung bro minimal beli suporter version .,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.971.523.122.920,starsyndrome3134,Nabung beli yang ori bukan yang kw,0,nabung beli ori kw,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.323.615.500,HECTORMcintire,dari dikasih pola maxwin dapat merasakan maxwin pula disitus mandalika77 memang mantapp gacir banget,1,dikasih pola maxwin merasakan maxwin disitus mandalika77 mantapp gacir banget,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,173.995.352.361.689,FauzanBoby,ERSP0  KO ANDALAN  SALAM DARI PAPUA,0,ersp0 ko andalan salam papua,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.323.618.280,AyseArif-l6h,"sore sore gini lagi nyantai sambil main di mandalika77, tambah lagi dikasih maxwin hahaa Mudah Maxwin",1,"sore sore gini nyantai main mandalika77 , dikasih maxwin hahaa mudah maxwin",1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.975.123.619.590,OneidaLanglois,"Muadah mudahan bermanfaat ,,aku kan coba di mandalika77 ,, real asik mainnya",1,"muadah mudahan bermanfaat , ,aku coba mandalika77 , , real asik mainnya",1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.323.620.920,SevgulBerfin,Mantap Betul ahh kalau gini gak sia sia deh gua main di mandalika77 keren pokonya,1,mantap ahh gini gak sia sia deh gua main mandalika77 keren pokonya,1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.323.622.240,OrhanOlcay-y6g,"Gak pernah kecewa main di mandalika77, slt mereka selalu on fire!",1,"gak kecewa main mandalika77 , slt on fire !",1
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.323.623.560,MICHEALKlinger,"Bangun tidur ku terus ngeslt, emang paten kali  mandalika77 nih belum apa2 udah maxwin dia, kirain cuma dalam mimpi doang bisa dapat maxwin.",1,"bangun tidur ku ngeslt , emang paten kali mandalika77 nih apa2 udah maxwin , kirain mimpi doang maxwin .",1
